Award_Year_Reported_on_990,Amount,Recipient,Description_990,Source,Notes,Recipient_EIN,City,State,Type,Activity,Output,Title_web,Description_web,Project_director,Project_extent_preserved,Project_date_range,Project_URL
2010,$0.00,,,990_2010_propublica,None itemized; 990 indicates they gave $0,,,,none,,,,,,,,
2011,$0.00,,,990_2011_propublica,None itemized; 990 indicates they gave $0,,,,none,,,,,,,,
2012,$0.00,,,990_2012_propublica,None itemized; 990 indicates they gave $0,,,,none,,,,,,,,
2013,$0.00,,,990_2013_propublica,None itemized; 990 indicates they gave $0,,,,none,,,,,,,,
2014,$0.00,,,990_2014_propublica,None itemized; 990 indicates they gave $0; waiting for LoC match?,,,,none,,,,,,,,
2015,$0.00,,,990_2015_propublica,None itemized; 990 indicates they gave $0; waiting for LoC match?,,,,none,,,,,,,,
2016,"$25,000.00",Radio Preservation Task Force (Library of Congress),Preservation of the history of public broadcasting in the US,990_2016,990 says NRPF gave $75K this year,,Washington,DC,grant,networking and coordination,conference,Expanding Awareness of the History of U.S. Public Broadcasting,"Funding for the Radio Preservation Task Force, a division of the National Recording Preservation Board, to host and organize curatorial and collaborative projects with their twenty-five partners, including National Public Radio, the British Library, Pacifica, the Paley Center, and Smithsonian Center for Folklife and Cultural Heritage; and to support the creation of the Task Force's second conference in 2017.",Josh Shepperd,,,
2016,"$25,000.00",University of North Carolina,Preservation of the recordings of Mike Seeger,990_2016,,,Chapel Hill,NC,grant,preserve - digitize,,Preserving the Field Recordings of Mike Seeger,"Funding to digitize approximately 622 hours of unique audio recordings in the Mike Seeger Collection for preservation. The funding allowed the Southern Folklife Center, University of North Carolina at Chapel Hill, to outsource the digitization of Seeger’s original 1/4"" open reel tapes to an experienced vendor specializing in audio preservation transfers.",,,,
2016,"$25,000.00",Indiana University,"Preservation of ""Orson Welles on the Air""",990_2016,,,Bloomington,IN,grant,preserve - digitize,,Preserving <em>Orson Welles on the Air</em>,"Funding to support the digitization of master, original audio recordings and accompanying radio scripts for <em>Orson Welles On the Air</em>, held by the special collections of Lilly Library at Indiana University, as part of the Welles manuscripts collection.",,,,
2017,$0.00,,,,None itemized; 990 indicates they gave $0,,,,none,,,,,,,,
